Pos,Game,Game.1,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Unnamed: 10_level_2,Genero,Plataforma
1,,Neon Genesis Evangelion 2nd Impression,,0.42m,,,0.42m,0.00m,07th Mar 97,,Role-Playing,SAT
2,,Grandia,,0.42m,,,0.42m,,18th Dec 97,,Role-Playing,SAT
3,,Shin Megami Tensei: Devil Summoner,,0.38m,,,0.38m,,25th Dec 95,,Role-Playing,SAT
4,,Devil Summoner: Soul Hackers,,0.31m,,,0.31m,,13th Nov 97,,Role-Playing,SAT
5,,Blazing Heroes,,0.30m,,,0.30m,0.00m,01st Jan 96,,Role-Playing,SAT
6,,Guardian Heroes,,0.29m,,,0.29m,,25th Jan 96,,Role-Playing,SAT
7,,Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,,0.26m,,,0.26m,,14th Jan 97,,Role-Playing,SAT
8,,Doukyuusei if,,0.26m,,,0.26m,,09th Aug 96,,Role-Playing,SAT
9,,Lunar: Silver Star Story,,0.23m,,,0.23m,0.00m,25th Oct 96,,Role-Playing,SAT
10,,Lunar: Silver Star Story Complete,,0.21m,,,0.21m,0.00m,04th Jul 97,,Role-Playing,SAT
11,,Doukyuusei 2,,0.13m,,,0.13m,,11th Jul 97,,Role-Playing,SAT
12,,Lunar 2: Eternal Blue,,0.12m,,,0.12m,,23rd Jul 98,,Role-Playing,SAT
13,,Panzer Dragoon Saga,,0.11m,,,0.11m,,30th Apr 98,,Role-Playing,SAT
14,,Virtual Hydlide,,0.11m,,,0.11m,0.00m,27th Apr 95,,Role-Playing,SAT
15,,Sword & Sorcery,,0.10m,,,0.10m,,31st May 96,,Role-Playing,SAT
16,,Slayers Royal 2,,0.08m,,,0.08m,0.00m,03rd Sep 98,,Role-Playing,SAT
17,,Madou Monogatari,,0.03m,,,0.03m,0.00m,23rd Jul 98,,Role-Playing,SAT
18,,Albert Odyssey: Legend of Eldean,,,,,,,31st Jul 97,,Role-Playing,SAT
19,,Baroque,,,,,,,21st May 98,,Role-Playing,SAT
20,,Blue Breaker,,,,,,,27th Nov 97,,Role-Playing,SAT
21,,Cyber Doll,,,,,,,09th Aug 96,,Role-Playing,SAT
22,,Dark Savior,,,,,,,30th Nov 96,,Role-Playing,SAT
23,,Digital Monsters Ver. S: Digimon Tamers,,,,,,,23rd Sep 98,,Role-Playing,SAT
24,,Dragon Master Silk,,,,,,,28th Mar 97,,Role-Playing,SAT
25,,Farland Saga: Toki no Douhyou,,,,,,,03rd Dec 98,,Role-Playing,SAT
26,,Gensou Suikoden,,,,,,,17th Sep 98,,Role-Playing,SAT
27,,Grandia Digital Museum,,,,,,,28th May 98,,Role-Playing,SAT
28,,Grandia Prelude,,,,,,,01st Jan 97,,Role-Playing,SAT
29,,Linkle Liver Story,,,,,,,15th Mar 96,,Role-Playing,SAT
30,,Magic Knight Rayearth,,,,,,,30th Nov 98,,Role-Playing,SAT
31,,Mahou Gakuen Lunar,,,,,,,20th Nov 97,,Role-Playing,SAT
32,,Marie no Atelier Ver. 1.3: Salburg no Renkinjutsushi,,,,,,,11th Dec 97,,Role-Playing,SAT
33,,Nanatsu Kaze no Shima Monogatari,,,,,,,27th Nov 97,,Role-Playing,SAT
34,,Ogre Battle Saga Episode Five: The March of the Black Queen,,,,,,,01st Nov 96,,Role-Playing,SAT
35,,Panzer Dragoon Saga,,,,,,,30th Apr 98,,Role-Playing,SAT
36,,Princess Crown,,,,,,,11th Dec 97,,Role-Playing,SAT
37,,RiglordSaga 2,,,,,,,08th Nov 96,,Role-Playing,SAT
38,,Ronde,,,,,,,30th Oct 97,,Role-Playing,SAT
39,,Sega Ages: Phantasy Star Collection,,,,,,,02nd Apr 98,,Role-Playing,SAT
40,,Shining the Holy Ark,,,,,,,30th Jun 97,,Role-Playing,SAT
41,,Shining Wisdom,,,,,,,10th Aug 95,,Role-Playing,SAT
42,,Shinsetsu Samurai Spirits: Bushidou Retsuden,,,,,,,27th Jun 97,,Role-Playing,SAT
43,,Simulation RPG Tsukuru,,,,,,,17th Sep 98,,Role-Playing,SAT
44,,Tactics Ogre: Let Us Cling Together,,,,,,,13th Dec 96,,Role-Playing,SAT
45,,The Legend of Heroes I & II: Eiyuu Densetsu,,,,,,,23rd Sep 98,,Role-Playing,SAT
46,,The Legend of Oasis,,,,,,,30th Nov 96,,Role-Playing,SAT
47,,Tilk: Aoi Umi kara Kita Shoujo,,,,,,,23rd Dec 97,,Role-Playing,SAT
48,,Vandal Hearts,,,,,,,27th Nov 97,,Role-Playing,SAT
49,,Wachenröder,,,,,,,06th Aug 98,,Role-Playing,SAT
50,,Wizardry VI & VII Complete,,,,,,,31st May 96,,Role-Playing,SAT
51,,Wizardry: Llylgamyn Saga,,,,,,,26th Nov 98,,Role-Playing,SAT
1,,Super Robot Taisen F,,0.55m,,,0.55m,0.00m,25th Sep 97,,Action,SAT
2,,Mobile Suit Gundam,,0.41m,,,0.41m,,22nd Dec 95,,Action,SAT
3,,Kidou Senshi Gundam: Giren no Yabou,,0.25m,,,0.25m,0.00m,09th Apr 98,,Action,SAT
4,,Resident Evil,,0.17m,,,0.17m,,31st Aug 97,,Action,SAT
5,,Batman Forever: The Arcade Game,,,,,,,30th Nov 96,,Action,SAT
6,,Black Fire,,,,,,,22nd Dec 95,,Action,SAT
7,,Die Hard Arcade,,,,,,,08th Apr 97,,Action,SAT
8,,Doraemon: Nobi Futo to Fukkatsu no Hoshi,,,,,,,15th Mar 96,,Action,SAT
9,,DragonHeart: Fire & Steel,,,,,,,01st Jan 96,,Action,SAT
10,,Elevator Action Returns,,,,,,,14th Feb 97,,Action,SAT
11,,Grid Runner,,,,,,,30th Nov 96,,Action,SAT
12,,Nekketsu Oyako,,,,,,,21st Jul 95,,Action,SAT
13,,Ninja Jaja Marukun: Onigiri Ninpouchou Gold,,,,,,,09th Oct 97,,Action,SAT
14,,Norse by Norsewest: The Return of The Lost Vikings,,,,,,,17th Nov 97,,Action,SAT
15,,Rampage World Tour,,,,,,,30th Sep 97,,Action,SAT
16,,Shellshock,,,,,,,01st Jan 95,,Action,SAT
17,,Shinobi Legions,,,,,,,01st Nov 95,,Action,SAT
18,,Shinrei Jusatsushi Taromaru,,,,,,,17th Jan 97,,Action,SAT
19,,Strahl: Hi no Rareshi Nanatsu no Hikari,,,,,,,24th Nov 95,,Action,SAT
20,,Tenchi O Kurau II,,,,,,,06th Sep 96,,Action,SAT
21,,The Crow: City of Angels,,,,,,,12th Mar 97,,Action,SAT
22,,The Incredible Hulk: The Pantheon Saga,,,,,,,01st Jan 97,,Action,SAT
23,,The Lost World: Jurassic Park,,,,,,,01st Jan 97,,Action,SAT
24,,Three Dirty Dwarves,,,,,,,15th Oct 96,,Action,SAT
25,,Time Commando,,,,,,,12th Mar 98,,Action,SAT
26,,Tunnel B1,,,,,,,15th Jan 97,,Action,SAT
