Pos,Game,Game.1,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Unnamed: 10_level_2,Genero,Plataforma
1,,Pokémon Red / Green / Blue Version,,31.37m,11.27m,8.89m,10.22m,1.00m,30th Sep 98,,Role-Playing,GB
2,,Pokémon Gold / Silver Version,,23.10m,9.00m,6.18m,7.20m,0.71m,14th Oct 00,,Role-Playing,GB
3,,Pokémon Yellow: Special Pikachu Edition,,14.64m,5.89m,5.04m,3.12m,0.59m,19th Oct 99,,Role-Playing,GB
4,,Dragon Quest Monsters,,2.35m,,,2.34m,0.01m,31st Dec 99,,Role-Playing,GB
5,,Yu-Gi-Oh: Duel Monsters 4,,2.18m,,,2.17m,0.01m,07th Dec 00,,Role-Playing,GB
6,,Dragon Quest Monsters 2: Cobi's Journey,,1.56m,,,1.56m,0.00m,15th Sep 01,,Role-Playing,GB
7,,The Final Fantasy Legend,,1.10m,,,1.10m,0.00m,01st Sep 90,,Role-Playing,GB
8,,Dragon Quest III,,0.81m,,,0.81m,0.00m,16th Jul 01,,Role-Playing,GB
9,,Dragon Warrior I&II,,0.77m,,,0.77m,,27th Sep 00,,Role-Playing,GB
10,,Final Fantasy Legend III,,0.76m,,,0.76m,,29th Sep 93,,Role-Playing,GB
11,,Medarot 2: Kabuto / Kuwagata Version,,0.54m,,,0.54m,0.00m,23rd Jul 99,,Role-Playing,GB
12,,Medarot: Kabuto / Kuwagata Version,,0.40m,,,0.40m,0.00m,28th Nov 97,,Role-Playing,GB
13,,Dragon Warrior Monsters 2: Tara's Adventure,,0.40m,,,0.40m,,15th Sep 01,,Role-Playing,GB
14,,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,,0.39m,,,0.39m,,27th Apr 01,,Role-Playing,GB
15,,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,,0.27m,,,0.27m,,22nd Nov 96,,Role-Playing,GB
16,,Medarot 3: Kabuto / Kuwagata Version,,0.27m,,,0.27m,0.00m,23rd Jul 00,,Role-Playing,GB
17,,Yu-Gi-Oh! Monster Capture GB,,0.14m,,,0.14m,,13th Apr 00,,Role-Playing,GB
18,,Tales of Phantasia: Narikiri Dungeon,,,,,,,10th Nov 00,,Role-Playing,GB
19,,Star Ocean: Blue Sphere,,0.14m,,,0.14m,0.00m,28th Jun 01,,Role-Playing,GB
20,,Medarot 4: Kabuto / Kuwagata Version,,0.12m,,,0.12m,,23rd Mar 01,,Role-Playing,GB
21,,Akazukin ChaCha,,,,,,,28th Apr 95,,Role-Playing,GB
22,,Animal Breeder 3,,,,,,,24th Jun 99,,Role-Playing,GB
23,,Animal Breeder 4,,,,,,,01st Jan 01,,Role-Playing,GB
24,,Animastar GB,,,,,,,30th Mar 01,,Role-Playing,GB
25,,Another Bible,,,,,,,03rd Mar 95,,Role-Playing,GB
26,,Aretha,,,,,,,16th Nov 90,,Role-Playing,GB
27,,Aretha II,,,,,,,27th Sep 91,,Role-Playing,GB
28,,Aretha III,,,,,,,16th Oct 92,,Role-Playing,GB
29,,Arle no Bouken: Mahou no Jewel,,,,,,,31st Mar 00,,Role-Playing,GB
30,,Azure Dreams,,,,,,,01st Jan 99,,Role-Playing,GB
31,,B-Daman Baku Gaiden V: Final Mega Tune,,,,,,,04th Feb 00,,Role-Playing,GB
