Plataforma	América del norte	Europa	Japón	Resto del mundo	Global
PS2	53.65	55.28	23.18	27,9	160.01
DS	57,92	51.84	32,99	11.28	154.02
NS	52.78	38,79	35,79	23.16	150.52
GB	43.18	40.05	32.47	2,99	118.69
PS4	38.12	45.86	9.68	23.53	117.20
PS	40.78	31.09	21.59	9.04	102.49
Wii	45.51	33.12	12.77	10.23	101.63
PS3	29.60	30.87	10.47	16.47	87.40
PSP	21.62	25.31	20.02	15.57	82.52
GBA	40.39	21.31	16.96	2.85	81.51
3DS	25.47	20.45	24.67	5.35	75.94
PS5	28.43	25.86	6.86	14.60	77.8
NES	33.49	8.30	19.35	0,77	61.91
SNES	22.88	8.15	17.17	0.90	49.10
N64	20.11	6.35	5.54	0,93	32.93
GC	12.55	4.44	4.04	0,71	21.74
WiiU	6.15	3.27	3.33	0,82	13.56
PSV	2.70	2.89	5.73	1.81	13.13
